Verb (dict.)	English meaning	Present	Past	Future
가깝다	@level2/2025-12-12-Class-10.txt (Vocab; also Class 8 dialogue)	가까워요	가까웠어요	가까울 거예요
가다	go	가요	갔어요	갈 거예요
가르치다	to teach / to tell (someone)	가르쳐요	가르쳤어요	가르칠 거예요
가져오다	to bring	가져와요	가져왔어요	가져올 거예요
갈아타다	to transfer	갈아타요	갈아탔어요	갈아탈 거예요
감사합니다	Thank you	감사합녀요	감사합녔어요	감사합닐 거예요
갑니다	go	갑녀요	갑녔어요	갑닐 거예요
걱정하다	to worry	걱정해요	걱정했어요	걱정할 거예요
건너다	to cross	건너요	건넜어요	건널 거예요
걸어가다	to go by walking	걸어가요	걸어갔어요	걸어갈 거예요
걸어오다	to come by walking	걸어와요	걸어왔어요	걸어올 거예요
고맙습니다	Thank you (polite)	고맙습녀요	고맙습녔어요	고맙습닐 거예요
공부하다	to study	공부해요	공부했어요	공부할 거예요
괜찮다	to be okay	괜찮아요	괜찮았어요	괜찮을 거예요
구경하다	to see/sightsee	구경해요	구경했어요	구경할 거예요
귀엽다	to be cute	귀여워요	귀여웠어요	귀여울 거예요
그렇다	to be so	그래요	그랬어요	그렇을 거예요
그리다	to draw	그려요	그렸어요	그릴 거예요
기다리다	to wait	기다려요	기다렸어요	기다릴 거예요
길다	긴	길어요	길었어요	길 거예요
깨다	To break, shatter	깨요	깼어요	깰 거예요
나가다	to go out	나가요	나갔어요	나갈 거예요
나오다	to come out	나와요	나왔어요	나올 거예요
날씬하다	to be slim	날씬해요	날씬했어요	날씬할 거예요
내려가다	to go down	내려가요	내려갔어요	내려갈 거예요
내려오다	to come down	내려와요	내려왔어요	내려올 거예요
내리다	to get off	내려요	내렸어요	내릴 거예요
놀다	to play	놀아요	놀았어요	놀 거예요
늦다	to be late	늦어요	늦었어요	늦을 거예요
달다	sweet	달아요	달았어요	달 거예요
덥다	hot	더워요	더웠어요	더울 거예요
듣다	to listen	들어요	들었어요	들을 거예요
들어가다	to go in / enter	들어가요	들어갔어요	들어갈 거예요
들어오다	to come in / enter	들어와요	들어왔어요	들어올 거예요
따뜻하다	warm	따뜻해요	따뜻했어요	따뜻할 거예요
뚱뚱하다	to be fat	뚱뚱해요	뚱뚱했어요	뚱뚱할 거예요
마르다	to be skinny / thin	말라요	말랐어요	마를 거예요
마십니다	drink	마십녀요	마십녔어요	마십닐 거예요
만나다	to meet	만나요	만났어요	만날 거예요
만들다	to make	만들어요	만들었어요	만들 거예요
많다	only ㄴ pronounced	많아요	많았어요	많을 거예요
말하다	to speak	말해요	말했어요	말할 거예요
맑다	clear	맑아요	맑았어요	맑을 거예요
맛없다	not tasty	맛없어요	맛없었어요	맛없을 거예요
맛있다	tasty	맛있어요	맛있었어요	맛있을 거예요
맞다	to be right / correct	맞아요	맞았어요	맞을 거예요
맵다	spicy	매워요	매웠어요	매울 거예요
먹다	eat	먹어요	먹었어요	먹을 거예요
먹습니다	eat	먹습녀요	먹습녔어요	먹습닐 거예요
멋있다	to be stylish / cool	멋있어요	멋있었어요	멋있을 거예요
